Unnamed: 0,X（mm）,Y（mm）,Z（mm）,Index,position
116.0,323.8442214,665.019271042,1081.815583062,1,wedge_wall
116.0,348.072516622,665.019271042,1081.815583062,2,wedge_wall
116.0,323.8442214,665.019271042,1106.043878284,3,wedge_wall
116.0,348.072516622,665.019271042,1106.043878284,4,wedge_wall
116.0,318.072516622,640.019271042,1106.043878284,5,wedge_wall
116.0,348.072516622,640.019271042,1106.043878284,6,wedge_wall
116.0,348.072516622,640.019271042,1076.043878284,7,wedge_wall
116.0,1041.351578025,665.019271042,1425.482844503,8,wedege_door
116.0,1017.123282803,665.019271042,1449.711139724,9,wedege_door
116.0,1041.351578025,665.019271042,1449.711139724,10,wedege_door
116.0,1017.123282803,640.019271042,1425.482844503,11,wedege_door
116.0,1047.123282803,640.019271042,1425.482844503,12,wedege_door
116.0,1017.123282803,640.019271042,1455.482844503,13,wedege_door
116.0,1046.816821976,511.40242249,1046.34693913,14,nest_wall
116.0,1046.816821976,511.40242249,1076.34693913,15,nest_wall
116.0,1046.816821976,511.40242249,1142.444265892,16,nest_wall
116.0,1046.816821976,511.40242249,1172.444265892,17,nest_wall
116.0,1076.816821976,511.40242249,1172.444265892,18,nest_wall
116.0,1046.866821976,536.40242249,1172.89693913,19,nest_wall
116.0,1046.866821976,633.40242249,1174.562380619,20,nest_wall
116.0,323.619270346,664.044900977,1454.04025791,21,nest_door
116.0,418.374120452,664.044900977,1449.93949076,22,nest_door
116.0,288.378977449,511.40242249,1455.179783657,23,nest_door
116.0,318.378977449,511.40242249,1455.179783657,24,nest_door
116.0,318.378977449,536.40242249,1455.179783657,25,nest_door
116.0,414.928977449,536.40242249,1455.229783657,26,nest_door
116.0,384.474745717,511.40242249,1455.179783657,27,nest_door
116.0,414.474745717,511.40242249,1455.179783657,28,nest_door
116.0,414.474745717,511.40242249,1485.179783657,29,nest_door
116.0,241.599015305,253.988072442,999.741100871,30,plate_left
116.0,678.599014328,255.488072442,999.770322483,31,plate_left
116.0,241.563441168,255.488072442,1531.741099682,32,plate_left
116.0,678.56344019,253.988072442,1531.770321294,33,plate_left
116.0,686.40473411,255.488072442,999.770407744,34,plate_right
116.0,1123.40473411,255.488072442,999.770407744,35,plate_right
116.0,686.40473411,255.488072442,1531.770407744,36,plate_right
116.0,1123.40473411,255.488072442,1531.770407744,37,plate_right
116.0,1017.123282803,665.019271042,1425.482844503,38,wedege_door
116.0,-90.761717388,1529.988072442,667.932180663,A,box
116.0,-90.761717388,1529.988072442,1563.932180663,D,box
116.0,-90.761717388,235.988072442,1563.932180663,C,box
116.0,-90.761717388,235.988072442,667.932180663,B,box
116.0,1155.238282612,1529.988072442,667.932180663,E,box
116.0,1155.238282612,1529.988072442,1563.932180663,H,box
116.0,1155.238282612,235.988072442,667.932180663,F,box
116.0,1155.238282612,235.988072442,1563.932180663,G,box
,855.0,1265.0,1266.0,,Mic1(roughly)
,1020.0,775.0,1266.0,,Mic2-right
,303.0,775.0,1266.0,,Mic3-left
,682.0,775.0,1060.0,,Mic4-back
,682.0,775.0,1434.0,,Mic5-door
